name,id,location,venue_type,serves_alcohol,venue_url,address,description,age
Tangent Gallery,6,,,,,,,21
TBA - Secret Location,7,,,,,,,
MotorCity Wine,8,,,,,,,21
TBA,10,,,,,,,
Magic Stick,12,,,,,,,18
Northern Lights Lounge,13,,,,,,,21
Bert's Warehouse Theater,15,,,,,,,21
Lincoln Factory,17,,,,,,,21
Hart Plaza,21,,,,,,,All ages
Marble Bar,24,,,,,,,21
Exodos Lounge,25,,,,,,,21
Andy Arts,26,,,,,,,18
Bookie's Bar,88,Midtown,,,https://www.bookiesbar.com/,"2208 Cass Ave, Detroit, MI 48201",,21
Paris Bar,159,,,,,,,21
HALO DETROIT,160,,,,,,,21
TBA - (313) 513 RAVE,161,,,,,,,
Dreamtroit,162,In The Freezer & Trackside,,,https://ra.co/clubs/221498,,,21
Nowhere,163,,,,,,,21
3fifty Terrace,234,Downtown,Rooftop,,https://www.instagram.com/3fiftyterrace/?hl=en,"350 Madison St, Detroit, MI 48226","3Fifty Terrace is downtown Detroit's premier rooftop nightclub 7 floors up!
An Apex Hospitality Concept.",21
Pocket Change,382,,,,,1454 Gratiot Ave,,21
Moondog Cafe,383,,,,,,,18
Bookies,384,,,,,,,21
2529 Orleans St,409,,,,,,,21
TBA - Warehouse location,410,,,,,,,
Nancy Whiskey's Detroit,468,,,,,,,21
El Club,469,,,,https://elclubdetroit.com/,"4114 w vernor hwy, Detroit, Michigan 48209",,18
3979 Bangor,470,,,,,,,
Time Will Tell,471,Downtown,,,https://www.instagram.com/timewilltelldetroit,6408 Woodward Ave,,
Woodbridge Pub,472,Woodbridge,,,,"5169 Trumbell, Detroit, MI",,
Lincoln Street Art Park,473,,,,https://www.instagram.com/lincolnstreet_artpark/?hl=en,1331 Holden St,,
Easy Peasy Patio,474,Sister Bar To Low Key,,,https://www.instagram.com/easypeasydetroit/?hl=en,"1456 Woodward Ave, Detroit, Michigan",,
Dessert Oasis Coffee Roasters,475,Downtown,,,https://docr.coffee/,"1220 Griswold St, Detroit, MI 48226",,
Third Street Bar,476,,,,,,,
The Old Miami,477,Midtown,Bar/Restaurant,,,"3930 Cass Ave, Detroit, MI 48201",venue description,21
Historic Fort Wayne,478,Delray/Riverfront,,,https://www.historicfortwayne.org/,"6325 W. Jefferson Detroit, MI",,All ages
Corktown Tavern,479,Corktown,,,https://www.instagram.com/explore/locations/2475203/corktown-tavern/,"1716 Michigan Ave, Detroit, MI",,21
Detroit Eagle,480,,,,https://www.facebook.com/p/The-Eagle-of-Detroit-100054651211590/,"950 W McNichols Rd, Detroit, MI 48203",,
Russell Industrial Center,481,,,,,,,18
Big Pink,482,,,,,,,21
McShanes Irish Pub,483,,,,,,,
The Whisky Parlor,484,,,,https://www.facebook.com/whiskyparlor/,"608 Woodward Ave, Fl 2, Detroit, MI, United States, Michigan",,
The Belt Alley,485,,,,,,,
Hart Plaza - techno tour,486,,,,,,,
Batch Brewing Co,487,,,,,,,All ages
TV Lounge,488,,,,,,,21
Leland City Club,489,,,,,,,
FOXGLOVE,490,,,,,,,
Red Door Digital,491,,,,,,,
The Diamond Belle Boat,492,,,,,,,18
Detroit Shipping Company,493,,,,https://www.detroitshippingcompany.com/,474 PETEBORO ST DETROIT MI 48201,,
Level Two Bar & Rooftop,494,,,,,,,
Spot Lite Detroit,495,,,,,,,21
The Norwood Theatre,496,,,,,,,
T'avli,497,,,,,,,
UFO Bar,498,,,,https://www.instagram.com/ufobardetroit,"2110 Trumbull, Detroit, MI 48216",,21
The Bassment,499,,,,,,,
The Gold Bar Detroit,500,,,,,,,
Midnight Temple,501,,,,,,,
Menjo's,502,,,,,,,
MIX Bricktown,503,,,,,"641 Beaubien Blvd, Detroit, MI",,
Old Miami,504,,,,,,,21
Collected Detroit,505,,,,,,,
Relish Arts Detroit,506,,,,,6601 Kercheval Ave,,
The Fillmore,507,,,,,,,
RnR Saloon/Detroit Eagle,508,,,,,,,
The High Dive,509,,,,,,,
Newlab,510,Michigan Central Station,,,,"2050 15th St, Detroit, MI 48216, United States",,
Mati's Avli Rooftop,511,,,,,,,
Old Western Market,512,Corktown,Outdoor Event Space,,https://oldwesternmarket.com/,"2640 Michigan Ave. Detroit, MI 48216","Nestled in the growing and evolving neighborhood of Historic Corktown, we invite a new era of commerce beneath its storied historic canopies. Our marketplace is where the heartbeats of Detroit's communities sync with the rhythm of local commerce. Here, tantalizing aromas waft from the finest food trucks Detroit has to offer, while fresh, local produce and handcrafted artisanal goods gleam under the sunlit tents.",
The Shadow Gallery,513,,,,,,,
Spkrbox,514,,,,,,,21
Halo Bar and Lounge,515,,,,,,,21
The Eagle of Detroit,516,,,,,,,
Trumbullplex,517,,,,,,,
Temple Bar,518,Midtown,,,https://www.instagram.com/templebardetroit,2906 Cass Ave,,
Newlab Detroit,519,,,,,,,
Hot Bones,520,,,,,,,
"7824 Mount Elliott St, Detroit, MI",521,,,,,,,
Common Pub,522,,,,,,,
Bleu,523,,,,,,,
Belle Isle Park,524,,,,,,,
Mudgies,525,,,,,,,
Lowkey,526,,,,,,,
Underground Music Academy,527,,,,,,,
Lagerhaus No. 5,528,,,,,,,
Well Done Goods,529,Eastern Market,,,https://welldonegoods.com/,"1515 Division St Suit A, Detroit, MI 48207",,
Puma Detroit,530,,,,,,,
dez Delmar Store,531,Downtown,,,,,,
Hotel Saint Regis Detroit,532,,,,,,,
Society Detroit,533,Woodbridge,,,https://www.instagram.com/societydetroit/?hl=en,"1995 Woodbridge St, Detroit, MI 48207",,
The Golden Rule,534,13441 Puritan Ave. Detroit Mi 48235,,,https://www.instagram.com/thegoldenrulelounge/,,,
The Loft at Café Prince,535,Core City,,,https://www.instagram.com/cafeprince.corecity/?hl=en,"4884 Grand River Ave., Detroit, Michigan 48208",,
ZUZU Upstairs,536,Downtown,,,,"Upstairs in ZUZU: 511 Woodward, Suite 200, Detroit, MI 48226",,
Johnny Noodle King,537,West Side Indudstrial,,,http://www.johnnynoodleking.com,"2601 W Fort St, Detroit, MI 48216",,
Behind the Packard Plant,538,On The Lawn Behind The Packard Plant On Canton Street Between E Kirby And E Ferry (Midtown?),,,,5432 Canton St,,
The Complex Multimedia Media Center.,539,,,,,,,
The Garage,540,North End,,,https://www.facebook.com/theGarageDetroit/?locale=tl_PH,"7615 Oakland AveDetroit, MI 48211","The Garage is an open-air space in the North End, Detroit that lives as a hub for grassroots neighborhood-led music culture and arts happenings.",
Jobstoppers Inc. ,541,,,,,,,
6112 Lincoln Street,542,Lincoln Art Park,,,,,Free Parking @ the Art Block across the street.,
27th Letter Books,543,Southwest,,,https://www.27thletterbooks.com/,"3546 Michigan Ave, Detroit, MI 48216",,
225 Speakeasy,544,In Atwater Brewery/Rivertown Warehouse District,,,https://www.instagram.com/225speakeasy/?hl=en,"225 Jos Campau, Detroit, MI 48207",,
Vollmers,545,Downtown,,,https://www.vollmersdetroit.com/,2040 Park Ave  Detroit MI 48226,,
Paramita Sound,546,Downtown,,,https://paramitasound.com/,"1517 Broadway St, Detroit, USA",,
Delux Lounge,547,,,,,,,
Two James Spirits,548,Corktown,,,https://twojames.com/,"2445 Michigan Avenue Detroit, MI 48216",,
Motor City Street Dance Academy,549,,,,https://motorcitysda.mailchimpsites.com/,"6509 Michigan Ave, Detroit, MI",,
Supergeil,550,,,,,,,
1331 Holden,551,,,,,,,
Cafe Sous Terre,552,Midtown,,,https://www.instagram.com/cafe_sous_terre,"445 W Forest Ave, Unit 7, Detroit, Michigan 48201",,
Packard Art Collective,553,,,,https://www.instagram.com/packardarthouse/,"7032 E Ferry St, Detroit",,
Vesper Books & Wine ,554,,,,https://www.instagram.com/vesperbooksandwine/?hl=en,"5001 Grand River Ave, Detroit",,
TBA - DETROIT -VS- EVERYBODY IN THE MARKET (2529 Orleans St),560,,,,,,,
"TBA - Pocket Change, 1454 Gratiot Ave",583,,,,,,,
Lagerhaus#5,604,,,,,"1529 Adelaide St, Detroit",,18
TBA - Lagerhaus#5,615,,,,,,,
Diamondback Music Hall,622,,,,,,,18
Batch Brewing Company,623,,,,,,,All ages
Cannons,624,,,,,,,21
TBA - 215W,625,,,,,,,
Cutter’s Bar & Grill,626,,,,,,,21
Fort Wayne,627,,,,,,,All ages
